1,2,Total,Club name,Website
41,20,61,Giffnock North AC,https://www.giffnocknorth.co.uk/
45,34,79,East Kilbride AC,http://www.ekac.org.uk/
63,62,125,Airdrie Harriers,http://airdrieharriers.org/
88,49,137,Law & District AAC,http://www.lawaac.co.uk/
72,83,155,Inverclyde AC,https://www.inverclydeac.org/
37,138,175,Shettleston Harriers,http://shettlestonharriers.org.uk/
58,117,175,Springburn Harriers,https://www.springburnharriers.co.uk/
87,88,175,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
104,76,180,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
103,99,202,VP-Glasgow,
113,97,210,Cambuslang Harriers,https://cambuslangharriers.org/
143,94,237,Kilbarchan AAC,https://kilbarchanaac.org.uk/
118,138,256,North Ayrshire AAC,https://naathletics.co.uk/
175,138,313,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
178,138,316,Whitemoss AAC,https://whitemossaac.co.uk/
