1,2,Total,Club name,Website
22,36,58,Law & District AAC,http://www.lawaac.co.uk/
56,45,101,Airdrie Harriers,http://airdrieharriers.org/
40,73,113,Giffnock North AC,https://www.giffnocknorth.co.uk/
58,64,122,Inverclyde AC,https://www.inverclydeac.org/
68,56,124,VP-Glasgow,https://www.vp-glasgow.com
60,68,128,Shettleston Harriers,http://shettlestonharriers.org.uk/
74,88,162,East Kilbride AC,http://www.ekac.org.uk/
80,88,168,Kilbarchan AAC,https://kilbarchanaac.org.uk/
63,108,171,North Ayrshire AAC,https://naathletics.co.uk/
142,72,214,Calderglen Harriers,http://www.calderglenharriers.org.uk/
130,89,219,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
147,78,225,Motherwell AC,https://motherwellac.com/
148,108,256,Cambuslang Harriers,https://cambuslangharriers.org/
151,140,291,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
170,158,328,Whitemoss AAC,https://whitemossaac.co.uk/
161,183,344,Springburn Harriers,https://www.springburnharriers.co.uk/
204,160,364,Helensburgh AAC,https://www.helensburghaac.com/
204,181,385,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
150,240,390,Strathclyde Police AC,
157,240,397,Larkhall YMCA,https://www.larkhallymcaharriers.org
